Процент_завершения;Базовая_длительность;Базовое_начало;Базовое_окончание;Начало;Окончание;Длительность;Причины_отклонений;Заметки;Уровень_структуры;БЛОК;Ид;Уникальный_идентификатор;Предшественники;Последователи;Дата_ограничения;Название;ЛОТ;ID_проекта;Уровень;Шифр_ПД_и_РД;Отклонение_начала;Отклонение_окончания
0%;304 д;01.11.25;31.08.26;16.08.26;19.10.26;65 д;;;4;СМР;897;1234;;;НД;Ограждающие конструкции;8.7;;4;;288 д;49 д
0%;304 д;01.11.25;31.08.26;16.08.26;29.09.26;45 д;;;5;СМР;898;1235;886НН+15 д;"889НН+30 д;890НН+30 д;891НН+30 д;892НН+30 д;893НН+30 д;916ОН+1 д;919ОН+1 д;920ОН+1 д;921ОН+1 д;925ОН+1 д;926ОН+1 д;930ОН+1 д;962ОН+40 д;963ОН+40 д;964ОН+40 д;965ОН+40 д;966ОН+40 д;967ОН+40 д;968ОН+40 д;969ОН+40 д";НД;Монтаж сэндвич-панелей толщиной 120мм;;;5;;288 д;29 д
0%;304 д;01.11.25;31.08.26;16.08.26;29.09.26;45 д;;;5;СМР;899;1236;886НН+15 д;;НД;Монтаж сэндвич-панелей толщиной 120мм (UNIQUE);;;5;;288 д;29 д
0%;304 д;01.11.25;31.08.26;05.10.26;19.10.26;15 д;;;5;СМР;900;1237;887НН+15 д;"922ОН+1 д;912ОН+1 д;913ОН+1 д;928ОН+1 д";НД;Монтаж сэндвич-панелей толщиной 100мм;;;5;;338 д;49 д
0%;304 д;01.11.25;31.08.26;16.08.26;29.09.26;45 д;;;5;СМР;901;1238;886НН+15 д;;НД;Монтаж сэндвич-панелей кровельных толщиной 120мм;;;5;;288 д;29 д
0%;0 д;01.11.25;31.08.26;21.09.26;05.10.26;15 д;;;5;;902;1451;888ОН+1 д;;НД;Монтаж сэдвич-панелей пристройки;;;5;;324 д;35 д
0%;304 д;01.11.25;31.08.26;16.08.26;29.09.26;45 д;;;5;СМР;903;1239;886НН+15 д;;НД;Монтаж профилированного листа Н114-750-0.7, в т.ч. метизы (волна МП18);;;5;;288 д;29 д
0%;304 д;01.11.25;31.08.26;16.08.26;29.09.26;45 д;;;5;СМР;904;1240;886НН+15 д;;НД;Монтаж перфорированных стальных панелей;;;5;;288 д;29 д
0%;304 д;01.11.25;31.08.26;16.08.26;29.09.26;45 д;;;5;СМР;905;1241;886НН+15 д;;НД;Вентилируемый фасад;;;5;;288 д;29 д
0%;304 д;01.11.25;31.08.26;21.08.26;19.10.26;60 д;;;4;СМР;906;1242;;;НД;Кровля;8.8;;4;;293 д;49 д
0%;304 д;01.11.25;31.08.26;21.08.26;04.09.26;15 д;;;5;СМР;907;1243;895НН+15 д;908НН+5 д;НД;Устройство пароизоляции;;;5;;293 д;4 д
0%;304 д;01.11.25;31.08.26;26.08.26;14.09.26;20 д;;;5;СМР;908;1244;907НН+5 д;909НН+5 д;НД;Утепление покрытий PIR 60 мм;;;5;;298 д;14 д
0%;304 д;01.11.25;31.08.26;31.08.26;19.09.26;20 д;;;5;СМР;909;1245;908НН+5 д;910НН+10 д;НД;Утепление покрытий плитами из минеральной ваты 50 мм;;;5;;303 д;19 д
0%;304 д;01.11.25;31.08.26;10.09.26;04.10.26;25 д;;;5;СМР;910;1246;909НН+10 д;911НН+10 д;НД;Устройство плоских однослойных кровель из пвх мембран ecoplast v-rp (1,2 мм) (со сваркой полотен) с укладкой разделительного слоя по утеплителю, с устройством примыканий;;;5;;313 д;34 д
0%;304 д;01.11.25;31.08.26;20.09.26;19.10.26;30 д;;;5;СМР;911;1247;910НН+10 д;;НД;Система дождевой канализации (сифонно-вакуумная система внутреннего водостока) с врезкой в колодец;;;5;;323 д;49 д
0%;304 д;01.11.25;31.08.26;21.10.26;19.11.26;30 д;;;4;СМР;912;1248;900ОН+1 д;976;НД;Внутренние лестницы;ЛОТ №9;;4;;354 д;80 д
0%;304 д;01.11.25;31.08.26;21.10.26;19.11.26;30 д;;;4;СМР;913;1249;900ОН+1 д;976;НД;Внутренний пандус;ЛОТ №10;;4;;354 д;80 д
0%;153 д;01.05.26;30.09.26;01.10.26;10.10.26;10 д;;;3;СМР;914;1256;;;НД;ОКНА;ЛОТ №12;;4;;153 д;10 д
0%;153 д;01.05.26;30.09.26;01.10.26;10.10.26;10 д;;;4;СМР;915;1257;;;НД;Наружные;12.1;;4;;153 д;10 д
0%;153 д;01.05.26;30.09.26;01.10.26;10.10.26;10 д;;;5;СМР;916;1258;898ОН+1 д;;НД;Наружные оконные блоки с ламинацией;;;5;;153 д;10 д
0%;153 д;01.05.26;30.09.26;01.10.26;30.10.26;30 д;;;3;СМР;917;1261;;;НД;ВИТРАЖИ;ЛОТ №13;;4;;153 д;30 д
0%;153 д;01.05.26;30.09.26;01.10.26;20.10.26;20 д;;;4;СМР;918;1262;;;НД;Наружные;13.1;;4;;153 д;20 д
0%;153 д;01.05.26;30.09.26;01.10.26;20.10.26;20 д;;;5;СМР;919;1263;898ОН+1 д;942ОН+1 д;НД;Наружные витражи;;;5;;153 д;20 д
0%;153 д;01.05.26;30.09.26;01.10.26;20.10.26;20 д;;;5;СМР;920;1264;898ОН+1 д;;НД;Наружные двери алюминевые 1200*2100мм;;;5;;153 д;20 д
0%;153 д;01.05.26;30.09.26;01.10.26;20.10.26;20 д;;;5;СМР;921;1265;898ОН+1 д;;НД;Наружный витраж с дверью на АБК 2100*2500мм (входные двери на Base);;;5;;153 д;20 д
0%;153 д;01.05.26;30.09.26;21.10.26;30.10.26;10 д;;;4;СМР;922;1266;900ОН+1 д;;НД;Внутренние;13.2;;4;;173 д;30 д
