;;;;1 неделя;2 неделя;2 неделя;2 неделя;2 неделя;2 неделя;2 неделя;2 неделя;3 неделя;3 неделя;3 неделя;3 неделя;3 неделя;3 неделя;3 неделя;4 неделя;4 неделя;4 неделя;4 неделя;4 неделя;4 неделя;4 неделя;5 неделя;5 неделя;5 неделя;5 неделя;5 неделя;5 неделя;5 неделя;6 неделя;6 неделя;
ID Проекта;Наименование проекта;Подрядчик;Тип ресурсов;01.03.2026;02.03.2026;03.03.2026;04.03.2026;05.03.2026;06.03.2026;07.03.2026;08.03.2026;09.03.2026;10.03.2026;11.03.2026;12.03.2026;13.03.2026;14.03.2026;15.03.2026;16.03.2026;17.03.2026;18.03.2026;19.03.2026;20.03.2026;21.03.2026;22.03.2026;23.03.2026;24.03.2026;25.03.2026;26.03.2026;27.03.2026;28.03.2026;29.03.2026;30.03.2026;31.03.2026;тип ресурсов
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;ООО Техника безопасности;рабочие;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;рабочие
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;ООО ХСА;рабочие;0;3;3;3;3;3;0;0;0;3;2;2;3;1;0;3;2;2;3;3;0;0;3;2;2;2;2;0;0;3;2;рабочие
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;ООО Пакс Механизация;рабочие;3;44;47;49;32;38;32;1;31;30;33;29;27;25;23;25;28;25;27;21;18;17;30;27;29;32;27;17;19;27;27;рабочие
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;ООО Пакс Механизация;техника;8;8;8;7;7;7;7;7;7;6;7;7;7;7;7;10;8;8;8;8;3;7;7;7;7;6;9;5;6;8;9;техника
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;ООО САВ-Строй (благоустр);рабочие;0;1;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;рабочие
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;ООО САВ-Строй (благоустр);техника;6;6;6;6;6;6;6;5;5;5;5;6;5;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;ООО Стройдекор;рабочие;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;рабочие
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;ООО Стройдекор;техника;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;ООО СвайСпецСтрой-Р;рабочие;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;рабочие
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;ООО СвайСпецСтрой-Р;техника;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;ООО ИС Клининг;рабочие;6;9;10;10;10;10;6;5;6;8;8;12;10;6;6;9;12;13;13;11;9;11;12;11;13;12;12;9;8;12;12;рабочие
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;ООО ИС Клининг;техника;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;0;0;0;1;0;0;0;0;техника
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;ООО СВ;рабочие;19;34;31;28;31;24;20;0;19;30;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;рабочие
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;ООО СВ;техника;5;5;6;5;5;6;6;6;6;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;ООО Интерстрой;рабочие;29;43;47;53;49;47;46;30;42;45;48;47;53;49;36;52;47;51;50;49;43;42;50;51;49;49;53;49;36;48;53;рабочие
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;ООО Интерстрой;техника;6;5;6;7;7;4;4;4;4;4;9;9;9;9;9;6;7;7;5;8;7;7;7;7;7;2;7;9;6;8;10;техника
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;ООО КурскРегионПроект;рабочие;0;1;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;рабочие
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;ООО РЭГ;рабочие;0;2;2;2;2;2;0;0;0;2;2;2;2;0;0;3;2;3;1;2;0;0;4;3;3;2;4;0;0;3;3;рабочие
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;АО Марафон;рабочие;0;2;3;3;2;6;0;0;0;5;6;7;5;0;0;3;4;4;0;0;0;0;1;1;0;0;1;0;0;1;0;рабочие
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;АО Марафон;техника;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;9;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;ООО СК Альянс;рабочие;0;1;2;2;2;1;0;0;0;2;4;5;2;0;3;2;3;2;1;2;0;1;2;2;2;2;2;0;0;3;3;рабочие
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;ООО ОМЭЛСА;рабочие;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;рабочие
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;ООО Техника безопасности;рабочие;0;1;1;0;1;1;0;0;0;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;0;0;0;1;1;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;ООО Апекс Контракшн;рабочие;3;5;6;5;6;7;4;0;4;2;2;4;4;4;1;5;2;3;4;4;2;1;5;3;4;3;6;3;0;3;3;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;ООО Апекс Контракшн;техника;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;техника
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;ООО ИС Клининг;рабочие;6;9;10;9;11;9;8;8;10;11;7;4;10;9;6;9;4;5;6;5;1;5;2;6;8;6;7;6;6;8;6;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;ООО ИС Клининг;техника;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;ООО Мегастрой;рабочие;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;ООО Мегастрой;техника;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;техника
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;ООО Технофло;рабочие;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;ООО Технофло;техника;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;ООО СТМ - Оскол;рабочие;0;0;0;2;0;2;0;0;0;0;2;0;0;1;0;0;2;0;2;0;0;0;0;0;2;2;2;1;2;0;2;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;ООО СТМ - Оскол;техника;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;ООО Стройдекор;рабочие;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;ООО Стройдекор;техника;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;ООО СК Строймонтаж;рабочие;8;20;17;2;14;13;13;0;3;11;12;12;14;10;3;10;11;13;11;2;5;5;10;9;8;14;13;15;7;8;12;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;ООО СК Строймонтаж;техника;0;5;5;5;5;5;6;6;6;6;6;6;6;6;6;7;8;8;9;9;9;9;9;0;9;9;9;9;9;9;9;техника
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;ООО Би Ту Би Констракшн ;рабочие;6;7;7;12;7;8;4;0;6;6;8;6;11;6;0;5;6;7;8;6;5;3;7;9;8;11;7;7;5;8;7;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;ООО Би Ту Би Констракшн ;техника;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;техника
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;ООО М2 Инжиниринг ;рабочие;1;5;5;6;5;8;3;0;0;6;5;6;7;4;1;6;5;5;4;6;3;3;5;3;4;5;6;0;0;4;4;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;ООО М2 Инжиниринг ;техника;5;3;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;техника
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;ООО Профи Строй;рабочие;11;9;16;22;19;26;14;1;17;19;14;14;16;8;6;11;14;15;17;17;12;12;19;15;11;11;10;6;2;12;12;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;ООО Профи Строй;техника;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;техника
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;ООО Мосгеотех;рабочие;0;6;6;6;7;6;2;0;0;5;2;4;4;0;0;2;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;ООО Мосгеотех;техника;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;ООО КурскРегионПроект;рабочие;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;1;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;ООО Строй Альянс;рабочие;0;3;2;2;3;3;0;0;0;2;2;2;3;0;0;2;1;2;3;2;0;0;2;2;1;3;2;0;0;1;2;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;ООО Стройтраст;рабочие;0;2;1;1;1;3;0;0;0;0;1;1;2;0;0;2;2;1;2;2;0;0;1;2;1;1;2;0;0;1;1;рабочие
