;;;;;;;;;;;;;;;;;;;;;ПРОИЗВОДСТВЕННО - СКЛАДСКОЙ КОМПЛЕКС «ЦИФРОВОЙ ПРОМЫШЛЕННЫЙ КОВОРКИНГ ИНДАСТРИАЛ СИТИ «ЛЕНИНСКИЙ»;;;;;;;
ID_проекта;№ п/п;Наименование  работ (разделов работ).;№ Договора;Шифр;Номер шифра;Блок;Шифр полный;"Ноябрь
0feb8a44-a0f4-11ef-af7f-0050560219d5;8;Конструкции железобетонные. Цокольные панели;65-ХСА-1/24;КЖ;2;A;65-ХСА-1/24-КЖ2-А;;;;;;;;;;;;;;30.04.2025;Загружен, старая версия;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
Изм.1 - КРП прислал 15.06.25
Изм.2 - КРП прислал 18.02.26";"26.05.25
16.06.25 - Изм.1
18.02.26 - Изм.2";"27.11.25 - Изм.1 - эл. версия - СВ
18.02.26 - Изм.2 - эл. версия - СВ
30.03.26 - Изм.2 - эл.версия - ГК ЩИТ"
0feb8a44-a0f4-11ef-af7f-0050560219d5;9;Конструкции железобетонные. Цокольные панели. Изделия;65-ХСА-1/24;КЖ.И;2;A;65-ХСА-1/24-КЖ2.И-А;;;;;;;;;;;;;;30.04.2025;Загружен, старая версия;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
Изм.1 - КРП прислал 15.06.25";"27.05.25
16.06.25 - Изм.1";17.10.25 - бум.версия - ЖилСтройСити
0feb8a44-a0f4-11ef-af7f-0050560219d5;10;Конструкции железобетонные. Доклевеллеры;65-ХСА-1/24;КЖ;3;A;65-ХСА-1/24-КЖ3-А;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия";20.05.2025;"27.11.25 - эл. версия - СВ
30.03.26 - эл.версия - ГК ЩИТ"
0feb8a44-a0f4-11ef-af7f-0050560219d5;11;Конструкции железобетонные. Доклевеллеры. Изделия;65-ХСА-1/24;КЖ.И;3;A;65-ХСА-1/24-КЖ3.И-А;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия";20.05.2025;17.10.25 - бум.версия - ЖилСтройСити
0feb8a44-a0f4-11ef-af7f-0050560219d5;12;Конструкции железобетонные. Колонны;65-ХСА-1/24;КЖ;4;A;65-ХСА-1/24-КЖ4-А;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
Изм.1 - КРП выдал 13.03.26";"20.05.2025
16.03.26 - Изм.1";"27.11.25 - Изм.1 - эл. версия - СВ
30.03.26 - Изм.1 - эл.версия - ГК ЩИТ"
0feb8a44-a0f4-11ef-af7f-0050560219d5;13;Конструкции железобетонные. Колонны. Изделия;65-ХСА-1/24;КЖ.И;4;A;65-ХСА-1/24-КЖ4.И-А;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
Изм.1 - КРП выдал 30.05.25";02.06.25 - Изм.1;"17.10.25 - бум.версия - ЖилСтройСити
28.01.26 - Изм.1 - бум.версия - СтальКонкрит"
0feb8a44-a0f4-11ef-af7f-0050560219d5;14;Конструкции железобетонные. Полы. Отбойники.;65-ХСА-1/24;КЖ;5;A;65-ХСА-1/24-КЖ5-А;;;;;;;;;;;;;;30.04.2025;;принят;;;"КРП выдал 24.06.25
Изм.1 - КРП выдал 06.11.25";06.11.25 - Изм.1;"28.07.25 - эл.версия - Пакс-Механизация
27.11.25 - Изм.1 - эл. версия - СВ
30.03.26 - Изм.1 - эл.версия - ГК ЩИТ"
0feb8a44-a0f4-11ef-af7f-0050560219d5;15;Конструкции железобетонные. Плиты перекрытий;65-ХСА-1/24;КЖ;6;A;65-ХСА-1/24-КЖ6-А;;;;;;;;;;;;;;30.04.2025;;принят;;;"КРП выдал 24.06.25
Изм.1 - КРП выдал 18.08.25";"11.07.25
Изм.1 - 18.08.25";"27.11.25 - Изм.1 - эл. версия - СВ
30.03.26 - Изм.1 - эл.версия - ГК ЩИТ"
0feb8a44-a0f4-11ef-af7f-0050560219d5;16;Конструкции металлические. Покрытие;65-ХСА-1/24;КМ;1;A;65-ХСА-1/24-КМ1-А;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"15.04.25 выдана версия для ВОРов
КРП выдал 02.06.25";02.06.2025;"27.11.25 - эл. версия - СВ
30.03.26 - эл.версия - ГК ЩИТ"
0feb8a44-a0f4-11ef-af7f-0050560219d5;17;Конструкции металлические. Конструкции АБК;65-ХСА-1/24;КМ;2;A;65-ХСА-1/24-КМ2-А;;;;;;;;;;;;;;30.04.2025;Загружен, возвращен на доработку (загружена старая версия);принят;;;"15.04.25 выдана версия для ВОРов
КРП выдал 02.06.25
Изм.1-2 - КРП выдал 18.08.25
Изм.3 - КРП выдал 06.10.25
Изм.4 - КРП выдал 19.12.25
Изм.5 - КРП выдал 05.03.26
Изм.6 - КРП выдал 18.03.26";"18.08.25 - Изм.1-2
08.10.25 - Изм.3
19.12.25 - Изм.4
18.03.26 - Изм.6";"27.11.25 - Изм.3 - эл. версия - СВ
19.12.25 - Изм.4 - эл.версия - Армикон 
19.12.25 - Изм.4 - эл.версия - СВ
30.03.26 - Изм.6 - эл.версия - ГК ЩИТ"
0feb8a44-a0f4-11ef-af7f-0050560219d5;18;Конструкции металлические. Наружный фахверк;65-ХСА-1/24;КМ;3;A;65-ХСА-1/24-КМ3-А;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;Согласно распоряжению №15-Ленинский от 03.03.26 скорректировать наружный фахверк под два окна по оси 1 в боксе №14;;"15.04.25 выдана версия для ВОРов
КРП выдал 02.06.25
КРП выдал 15.06.25
КРП выдал 18.06.25
Изм. 1 - КРП выдал 20.10.25
Изм.2 - КРП выдал 22.01.26";"20.06.25
21.10.25 - Изм.1
22.01.26 - Изм.2";"27.11.25 - Изм.1 - эл. версия - СВ
22.01.26 - Изм.2 - эл.версия - Армикон
22.01.26 - Изм.2 - эл. версия - СВ
30.03.26 - Изм.2 - эл.версия - ГК ЩИТ"
0feb8a44-a0f4-11ef-af7f-0050560219d5;19;Конструкции металлические. Внутренний фахверк;65-ХСА-1/24;КМ;4;A;65-ХСА-1/24-КМ4-А;;;;;;;;;;;;;;30.04.2025;Загружен, старая версия;принят;;;"15.04.25 выдана версия для ВОРов
КРП выдал 02.06.25
Изм.1 - КРП выдал 01.10.25";"06.06.25
02.10.25 - Изм.1";"27.11.25 - Изм.1 - эл. версия - СВ
30.03.26 - Изм.1 - эл.версия - ГК ЩИТ"
