;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;1 неделя;1 неделя;1 неделя;1 неделя;1 неделя;2 неделя;2 неделя;2 неделя;2 неделя;2 неделя;2 неделя;2 неделя;3 неделя;3 неделя;3 неделя;3 неделя;3 неделя;3 неделя;3 неделя;4 неделя;4 неделя;4 неделя;4 неделя;4 неделя;4 неделя;4 неделя;5 неделя;5 неделя;5 неделя;5 неделя;
ID Проекта;Наименование проекта;ID Подрядчика;Подрядчик_new;Подрядчик_old;Тип ресурсов;01.04.2026;02.04.2026;03.04.2026;04.04.2026;05.04.2026;06.04.2026;07.04.2026;08.04.2026;09.04.2026;10.04.2026;11.04.2026;12.04.2026;13.04.2026;14.04.2026;15.04.2026;16.04.2026;17.04.2026;18.04.2026;19.04.2026;20.04.2026;21.04.2026;22.04.2026;23.04.2026;24.04.2026;25.04.2026;26.04.2026;27.04.2026;28.04.2026;29.04.2026;30.04.2026;Тип ресурсов
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;#Н/Д;;ООО Стройсервис;техника;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;техника
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;5a8436e6-0b3a-11f1-a55c-005056026d24;СПЕЦКОР ООО;ООО Спецкор;рабочие;7;0;7;5;0;6;7;0;2;4;0;0;7;7;3;7;3;0;3;2;4;0;2;7;5;0;0;0;2;4;рабочие
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;5a8436e6-0b3a-11f1-a55c-005056026d24;СПЕЦКОР ООО;ООО Спецкор;техника;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;#Н/Д;;ООО КурскРегионПроект;рабочие;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;рабочие
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;#Н/Д;;ООО НГС-Эксперт;рабочие;2;3;2;1;0;2;3;2;3;2;0;0;2;2;2;2;2;0;0;2;3;2;3;2;0;0;2;2;3;3;рабочие
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;a9362432-3e00-11ef-af44-0050560209d5;ОМЭЛСА ООО;ООО ОМЭЛСА;рабочие;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;рабочие
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;#Н/Д;;ООО Техника безопасности;рабочие;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;рабочие
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;#Н/Д;;ООО ХСА;рабочие;2;2;2;0;0;3;2;2;3;2;0;0;3;2;2;2;2;1;0;3;2;0;0;2;0;0;2;3;3;2;рабочие
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;808d87d5-6623-11f0-a555-005056026d24;ПАКС МЕХАНИЗАЦИЯ ООО;ООО Пакс Механизация;рабочие;27;25;27;18;2;20;25;20;20;18;3;2;16;15;18;15;12;1;1;6;8;7;14;4;2;2;4;4;6;4;рабочие
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;808d87d5-6623-11f0-a555-005056026d24;ПАКС МЕХАНИЗАЦИЯ ООО;ООО Пакс Механизация;техника;9;8;6;8;8;9;9;8;4;4;4;4;4;4;7;6;5;5;5;6;5;4;4;4;3;3;3;3;3;3;техника
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;#Н/Д;;ООО САВ-Строй (благоустр);рабочие;0;0;1;0;0;0;0;0;0;0;0;0;1;3;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;рабочие
