"Import_date";"1C_ID_OBJECT";"1C_ID_PODR";"1C_ID_CONTR";"1C_ID_LOT";"DocID";"DocDescription";"InternalID";"CreationDate";"DocNumber";"KrState";"KrStateID";"CONTRID";"CONTR";"KindID";"KindName";"Name";"ObjectID";"ObjectName";"Lot"
03.04.2026;0feb8a44-a0f4-11ef-af7f-0050560209d5;4cb920ca-b0cf-11f0-a55a-005056026d24;52ea6a40-16d6-11f1-a55c-005056026d24;;58269495-2a61-4b14-a032-dbda6a65f67b;№МК-6 от 13.03.2026 Комплект ИД;№МК-6;27.03.2026 03:00:00;100;На доработке;4;ade8f5f2-3e06-4265-a99b-5df28ec3fba3;АЛЬФА С ООО;6b50bbf7-9383-4eb6-8451-7c27e98cf7fe;Комплект ИД;"Монтаж металлоконструкций АБК в осях 1-21/И-К; 3-19/А;  Монтаж металлоконструкций по верхним поясам ферм в осях 3-19/А";28efbbf0-238e-4144-9871-f3e90c4d2200;Дмитровский I;
03.04.2026;0feb8a44-a0f4-11ef-af7f-0050560209d5;4cb920ca-b0cf-11f0-a55a-005056026d24;52ea6a40-16d6-11f1-a55c-005056026d24;;d94a76cd-1df5-4e97-b17e-dd838aca3280;№ОбрЗас-6 от 13.03.2026 Комплект ИД;№ОбрЗас-6;27.03.2026 03:00:00;99;На доработке;4;ade8f5f2-3e06-4265-a99b-5df28ec3fba3;АЛЬФА С ООО;6b50bbf7-9383-4eb6-8451-7c27e98cf7fe;Комплект ИД;"Устройство обратной засыпки в осях 14-15 / А-И; 16-20/А-Ж; 12-13/А-И";28efbbf0-238e-4144-9871-f3e90c4d2200;Дмитровский I;
03.04.2026;0feb8a44-a0f4-11ef-af7f-0050560209d5;4cb920ca-b0cf-11f0-a55a-005056026d24;52ea6a40-16d6-11f1-a55c-005056026d24;;72e978ac-eefe-42e4-989d-2fc44a92fbcd;№ГидФ-7 от 13.03.2026 Комплект ИД;№ГидФ-7;27.03.2026 03:00:00;98;На доработке;4;ade8f5f2-3e06-4265-a99b-5df28ec3fba3;АЛЬФА С ООО;6b50bbf7-9383-4eb6-8451-7c27e98cf7fe;Комплект ИД;"Устройство обмазочной гидроизоляции сборного фундамента в два слоя в осях 9-12/И-К; 14-18/А;";28efbbf0-238e-4144-9871-f3e90c4d2200;Дмитровский I;
03.04.2026;0feb8a44-a0f4-11ef-af7f-0050560209d5;4cb920ca-b0cf-11f0-a55a-005056026d24;52ea6a40-16d6-11f1-a55c-005056026d24;;6dba7172-b4fa-4724-8d32-530b3c1f23b8;№Ф-8 от 27.03.2026 Комплект ИД;№Ф-8;27.03.2026 03:00:00;97;Согласован;2;ade8f5f2-3e06-4265-a99b-5df28ec3fba3;АЛЬФА С ООО;6b50bbf7-9383-4eb6-8451-7c27e98cf7fe;Комплект ИД;"Монтаж сборного фундамента в осях 14-18/А; 9-12/И-К";28efbbf0-238e-4144-9871-f3e90c4d2200;Дмитровский I;
03.04.2026;0feb8a44-a0f4-11ef-af7f-0050560209d5;4cb920ca-b0cf-11f0-a55a-005056026d24;52ea6a40-16d6-11f1-a55c-005056026d24;;a000ee44-358c-45af-9360-3d8c965ccee6;№Пес-8 от 13.03.2026 Комплект ИД;№Пес-8;27.03.2026 03:00:00;96;Согласован;2;ade8f5f2-3e06-4265-a99b-5df28ec3fba3;АЛЬФА С ООО;6b50bbf7-9383-4eb6-8451-7c27e98cf7fe;Комплект ИД;"Устройство песчаного основания под фундаменты в осях 9-12/И-К; 14-18/А";28efbbf0-238e-4144-9871-f3e90c4d2200;Дмитровский I;
03.04.2026;0feb8a44-a0f4-11ef-af7f-0050560209d5;4cb920ca-b0cf-11f0-a55a-005056026d24;52ea6a40-16d6-11f1-a55c-005056026d24;;3d38eaa1-1435-433a-b790-0e6f430eb6ab;№Кот-5 от 13.03.2026 Комплект ИД;№Кот-5;27.03.2026 03:00:00;95;На доработке;4;ade8f5f2-3e06-4265-a99b-5df28ec3fba3;АЛЬФА С ООО;6b50bbf7-9383-4eb6-8451-7c27e98cf7fe;Комплект ИД;Разработка грунта в осях 3-13 / А;28efbbf0-238e-4144-9871-f3e90c4d2200;Дмитровский I;
03.04.2026;0feb8a44-a0f4-11ef-af7f-0050560209d5;4cb920ca-b0cf-11f0-a55a-005056026d24;098a6250-16f6-11f1-a55c-005056026d24;;1ac845eb-6989-4407-a60b-2728e9842c7b;№ГидЦП-1 от 13.03.2026 Комплект ИД;№ГидЦП-1;27.03.2026 03:00:00;94;На доработке;4;ade8f5f2-3e06-4265-a99b-5df28ec3fba3;АЛЬФА С ООО;6b50bbf7-9383-4eb6-8451-7c27e98cf7fe;Комплект ИД;Устройство обмазочной гидроизоляции цокольных панелей на два слоя в осях 1-9 / А-Ж;28efbbf0-238e-4144-9871-f3e90c4d2200;Дмитровский I;
03.04.2026;0feb8a44-a0f4-11ef-af7f-0050560209d5;4cb920ca-b0cf-11f0-a55a-005056026d24;098a6250-16f6-11f1-a55c-005056026d24;;8daae3a5-3789-4502-bda0-7ada6c9c508f;№Подл. ЦП-1 от 13.03.2026 Комплект ИД;№Подл. ЦП-1;27.03.2026 03:00:00;93;На доработке;4;ade8f5f2-3e06-4265-a99b-5df28ec3fba3;АЛЬФА С ООО;6b50bbf7-9383-4eb6-8451-7c27e98cf7fe;Комплект ИД;Устройство бетонной подливки и заделка швов цокольных панелей в осях 1-9 / А-Ж;28efbbf0-238e-4144-9871-f3e90c4d2200;Дмитровский I;
03.04.2026;0feb8a44-a0f4-11ef-af7f-0050560209d5;4cb920ca-b0cf-11f0-a55a-005056026d24;098a6250-16f6-11f1-a55c-005056026d24;;1f3c5aa6-f3a9-411a-a57f-7c6405d26171;№АнКор-1 от 13.03.2026 Комплект ИД;№АнКор-1;27.03.2026 03:00:00;92;На доработке;4;ade8f5f2-3e06-4265-a99b-5df28ec3fba3;АЛЬФА С ООО;6b50bbf7-9383-4eb6-8451-7c27e98cf7fe;Комплект ИД;Нанесение антикоррозионной защиту закладных деталей при монтаже цокольных панелей в осях 1-9 / А-Ж;28efbbf0-238e-4144-9871-f3e90c4d2200;Дмитровский I;
03.04.2026;0feb8a44-a0f4-11ef-af7f-0050560209d5;4cb920ca-b0cf-11f0-a55a-005056026d24;098a6250-16f6-11f1-a55c-005056026d24;;9226fb13-e93b-4fc1-9af6-be5b7ae9d2c2;№ЦП-1 от 13.03.2026 Комплект ИД;№ЦП-1;27.03.2026 03:00:00;91;Согласован;2;ade8f5f2-3e06-4265-a99b-5df28ec3fba3;АЛЬФА С ООО;6b50bbf7-9383-4eb6-8451-7c27e98cf7fe;Комплект ИД;Монтаж цокольных панелей в осях 1-9 / А-Ж;28efbbf0-238e-4144-9871-f3e90c4d2200;Дмитровский I;
